feedback,issue,distance,26/150,,,,10/50,,feedback,issue,distance,,19/100
"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable way. Sometimes it won't auto play the next item on a list. Sometimes it will always play a media from a certain point when starting it - yet it DOESNT properly save the last play location upon leaving",VLC on Android often loses track of the network drive it's been reading,[0.73891443],0,,,,,,,,,,
"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!","VLC Android Crash always after some events (Folder scan preferences, for example)",[0.77653193],1,,,,,,,,,,
"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!",VLC for Fire crashes when trying to access smb shares on local network.,[0.7765287],1,,,,,,,,,,
"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!",VLC for Android crashes when attempting to browse for media file,[0.77223617],1,,,,,,,,,,
Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,"Do not display ""Up to parent folder"" in ""Directory"" view because all devices have hardware or software ""Back"" button.",[0.7798763],0,,,,,,,,,,
Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,VLC 3.1.2 won't discover media from my SDCard.,[0.75685406],0,,,,,,,,,,
Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,"Video playback can fail to start, freezing the whole app",[0.7491547],0,,,,,,,,,,
"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",VLC Android: The Play/Search history should eliminate duplicates,[0.70019114],1,,,,,,,,,,
"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",Subtitles stops on my mi max 2 andriod phone once i like lock and unlock the mobile.,[0.6896332],0,,,,,,,,,,
"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",[IESIV_BayTrail CR_VLC_FUN] plug in or unplug HDMI cable will make video auto closed.,[0.6872276],0,,,,,,,,,,
"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",VLC on Android often loses track of the network drive it's been reading,[0.79642665],0,,,,,,,,,,
"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",android dvd video iso file menu not working (still same issue as in #20169),[0.7596623],0,,,,,,,,,,
"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",android dvd video iso file menu not working,[0.7442156],0,,,,,,,,,,
"Good app. Good to have Chromecast support. Bug when trying to add song to playlist , tapping on the three dots moves the scroll bar and the song to be added is list from screen view. Fix this bug please and I will bump up the review to 5 stars","Crash while listening from ""folder"" music files in Android 4.4.3 with Nexus 5",[0.6592305],0,,,,,,,,,,
"Good app. Good to have Chromecast support. Bug when trying to add song to playlist , tapping on the three dots moves the scroll bar and the song to be added is list from screen view. Fix this bug please and I will bump up the review to 5 stars","When playing an .mkv file in vlc for android version 1.3.2, movie get's cut every couple of seconds",[0.62445915],0,,,,,,,,,,
"Good app. Good to have Chromecast support. Bug when trying to add song to playlist , tapping on the three dots moves the scroll bar and the song to be added is list from screen view. Fix this bug please and I will bump up the review to 5 stars",Crashing Android app by playing a song via upnp with corrupt metadata,[0.6192415],0,,,,,,,,,,
I updated the app 2 days ago...I regret my decision as I can't use it anymore because it keeps crashing now...,"VLC Android Crash always after some events (Folder scan preferences, for example)",[0.6470854],1,,,,,,,,,,
I updated the app 2 days ago...I regret my decision as I can't use it anymore because it keeps crashing now...,VLC stops streaming to chromecast after some minutes,[0.64705175],0,,,,,,,,,,
I updated the app 2 days ago...I regret my decision as I can't use it anymore because it keeps crashing now...,"After plug in USB drive, VLC will not work normally and pop up the error message.",[0.64250684],0,,,,,,,,,,
The cast option doesn't work too well hopefully someone can look into it.,"Change Playback speed as low and restore,the video will not play smoothly",[0.7640793],0,,,,,,,,,,
The cast option doesn't work too well hopefully someone can look into it.,Grouping files by names doesnât seem to work,[0.730896],0,,,,,,,,,,
The cast option doesn't work too well hopefully someone can look into it.,BCM2763 hardware decoding does not work.,[0.72489756],0,,,,,,,,,,
