feedback,issue,distance,,37/150,,,,14/50,,feedback,issue,distance,,39/100
Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,"Once Video is suspended by playing video in the Youtube app, it can't be restarted (and no video works)",[0.72258973],,0,,0,,,,Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,"Once Video is suspended by playing video in the Youtube app, it can't be restarted (and no video works)",[0.72258973],,0
Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,App often needs force-stop if wi-fi drops out of range during use,[0.7085716],,0,,0,,,,Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,App often needs force-stop if wi-fi drops out of range during use,[0.7085716],,0
Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,Media controls shown on WebRTC pause playback swipe away notification no way to resume playback,[0.70776385],,0,38,0,,,,Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,Media controls shown on WebRTC pause playback swipe away notification no way to resume playback,[0.70776385],,0
"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.","[Roku] while one video is playing, weirdness happens when I search the web to start another video",[0.6615862],,0,,0,,,,"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.","[Roku] while one video is playing, weirdness happens when I search the web to start another video",[0.6615862],,0
"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.","[Roku] When streaming video on Roku, controls aren't matched up",[0.6457395],,0,,0,,,,"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.","[Roku] When streaming video on Roku, controls aren't matched up",[0.6457395],,0
"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.",Can't play embedded video on website,[0.6265067],,0,39,0,,,,"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.",Can't play embedded video on website,[0.6265067],,0
"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",Bad experience with no Firefox browser installed,[0.71331716],,0,,0,,,,"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",Bad experience with no Firefox browser installed,[0.71331716],,0
"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",Firefox nightly not working in Huawei p20,[0.7089738],,0,,0,,,,"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",Firefox nightly not working in Huawei p20,[0.7089738],,0
"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",Not able to save/download file from Firefox,[0.6963791],,1,40,0,,,,"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",Not able to save/download file from Firefox,[0.6963791],,1
was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,[0.7164984],,0,,0,,,,was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,[0.7164984],,0
was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,Since the Android upgrade (last week) Firefox does not work properly on my Nexus 7,[0.7063864],,1,,0,,,,was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,Since the Android upgrade (last week) Firefox does not work properly on my Nexus 7,[0.7063864],,1
was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,"When backspacing the last character of the current page in Firefox for Android's URL bar, it frequently reappears (highlighted, due to autosuggest) and needs to be backspaced again",[0.6937543],,0,41,0,,,,was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,"When backspacing the last character of the current page in Firefox for Android's URL bar, it frequently reappears (highlighted, due to autosuggest) and needs to be backspaced again",[0.6937543],,0
"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",My canvas html5 pages work fine until the last update. Now I can only see a white page. In desktop work fine.  I think is because the sound in my page.,[0.6348163],,0,,0,,,,"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",My canvas html5 pages work fine until the last update. Now I can only see a white page. In desktop work fine.  I think is because the sound in my page.,[0.6348163],,0
"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.","Firefox for android is slow when try to open the first web page, the wait time is more than 1 minute",[0.60655844],,1,,0,,,,"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.","Firefox for android is slow when try to open the first web page, the wait time is more than 1 minute",[0.60655844],,1
"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",tab performance is especially slow after opening a page that has an animated gif,[0.59832895],,1,42,0,,,,"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",tab performance is especially slow after opening a page that has an animated gif,[0.59832895],,1
Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,reloading the add-ons manager is ugly - perhaps disable it.,[0.6322442],,0,,0,,,,Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,reloading the add-ons manager is ugly - perhaps disable it.,[0.6322442],,0
Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,"[Breakdown] [Highlights] As a user, I want to delete an item so it won't show up in my history",[0.62921953],,0,,0,,,,Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,"[Breakdown] [Highlights] As a user, I want to delete an item so it won't show up in my history",[0.62921953],,0
Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,"Android: uninstalling firefox will delete all downloaded files, very annoying",[0.62353516],,0,43,0,,,,Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,"Android: uninstalling firefox will delete all downloaded files, very annoying",[0.62353516],,0
crashes nearly every time I use it for an extended period.,Repeated crashes,[0.69771326],,1,,0,,,,crashes nearly every time I use it for an extended period.,Repeated crashes,[0.69771326],,1
crashes nearly every time I use it for an extended period.,Crashes continuously,[0.67315435],,1,,0,,,,crashes nearly every time I use it for an extended period.,Crashes continuously,[0.67315435],,1
crashes nearly every time I use it for an extended period.,Extremely frequent crashes in recent Nightlies,[0.63353026],,1,44,0,,,,crashes nearly every time I use it for an extended period.,Extremely frequent crashes in recent Nightlies,[0.63353026],,1
"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",Crash on stop attempt after display wake up - java.lang.NullPointerException @ org.mozilla.gecko.ChromeCast.end(ChromeCast.java:254),[0.5674584],,1,,0,,,,"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",Crash on stop attempt after display wake up - java.lang.NullPointerException @ org.mozilla.gecko.ChromeCast.end(ChromeCast.java:254),[0.5674584],,1
"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",[Firefox performance] Web opening time(Web loading time) is slow compared to Chrome browser.,[0.56039274],,1,,0,,,,"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",[Firefox performance] Web opening time(Web loading time) is slow compared to Chrome browser.,[0.56039274],,1
"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",crash [@ chromehang],[0.53824615],,1,45,0,,,,"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",crash [@ chromehang],[0.53824615],,1
"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",Awesomescreen turns blank after the app has been open for too long,[0.63888264],,0,,0,,,,"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",Awesomescreen turns blank after the app has been open for too long,[0.63888264],,0
"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.","Android lint jobs mostly failing, after OSError: [Errno 2] No such file or directory",[0.6348117],,0,,0,,,,"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.","Android lint jobs mostly failing, after OSError: [Errno 2] No such file or directory",[0.6348117],,0
"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",The Android's menu has wrongly disabled items the first time it's shown,[0.6295765],,0,46,0,,,,"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",The Android's menu has wrongly disabled items the first time it's shown,[0.6295765],,0
"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!","Intermittent testReadingListProvider - TestUpdateItems | Date modified should have changed - didn't expect 1399491501493, but got it",[0.58544636],,0,,0,,,,"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!","Intermittent testReadingListProvider - TestUpdateItems | Date modified should have changed - didn't expect 1399491501493, but got it",[0.58544636],,0
"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!","Disabling push notifications with uBlock Origin addon installed causes ""some private data could not be cleared"" error only when 'site settings' is checked.",[0.56827426],,1,,0,,,,"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!","Disabling push notifications with uBlock Origin addon installed causes ""some private data could not be cleared"" error only when 'site settings' is checked.",[0.56827426],,1
"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!","""Entanglement"" web app causes continuous warnings about ""Aborting update due to more relevant display-port in event queue""",[0.5642011],,0,47,0,,,,"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!","""Entanglement"" web app causes continuous warnings about ""Aborting update due to more relevant display-port in event queue""",[0.5642011],,0
"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.","Firefox 63.0.2 is showing a notification of a media file prompting to play which I never downloaded which is in a ""play queue"" which I can't find any documentation for, or setting to disable,  even though I closed all tabs.",[0.71230054],,0,,0,,,,"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.","Firefox 63.0.2 is showing a notification of a media file prompting to play which I never downloaded which is in a ""play queue"" which I can't find any documentation for, or setting to disable,  even though I closed all tabs.",[0.71230054],,0
"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.",App often needs force-stop if wi-fi drops out of range during use,[0.7109045],,0,,0,,,,"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.",App often needs force-stop if wi-fi drops out of range during use,[0.7109045],,0
"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.","Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",[0.70346564],,0,48,0,,,,"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.","Firefox failed to play an embedded video on a website.then I checked for other websites ,and there too it did not work.I have all the recent/updated versions of required plugins.",[0.70346564],,0
I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,Firefox for Android mobile has a massive bug  Because it keep going close while I am busy on a website,[0.79867685],,0,,0,,,,I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,Firefox for Android mobile has a massive bug  Because it keep going close while I am busy on a website,[0.79867685],,0
I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.7673032],,0,,0,,,,I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,On Facebook in comments YOU CAN NOT EDIT THE CURSER WILL NOT click and blink at the word being edited to fix a messed up typo .I thought by now Firefox would have fived the problem its really anoring you can't fix typos cause FIREFOX BUG .,[0.7673032],,0
I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,"Firefox 63.0.2 is showing a notification of a media file prompting to play which I never downloaded which is in a ""play queue"" which I can't find any documentation for, or setting to disable,  even though I closed all tabs.",[0.762331],,0,49,0,,,,I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,"Firefox 63.0.2 is showing a notification of a media file prompting to play which I never downloaded which is in a ""play queue"" which I can't find any documentation for, or setting to disable,  even though I closed all tabs.",[0.762331],,0
Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,after selecting firefox from 'recently used apps list' browser displays a white screen about 2 second delay and then forces page reload,[0.73028255],,0,,0,,,,Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,after selecting firefox from 'recently used apps list' browser displays a white screen about 2 second delay and then forces page reload,[0.73028255],,0
Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,2 minute delay when stopping web server after Android browser tests,[0.7032161],,0,,0,,,,Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,2 minute delay when stopping web server after Android browser tests,[0.7032161],,0
Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,Switching browser language after upgrade does not work properly,[0.69860446],,0,50,0,,,,Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,Switching browser language after upgrade does not work properly,[0.69860446],,0
"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",[0.70995176],,0,,0,,,,"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.","When I add a site to my homescreen it's ok for a few days then the symbol become the firefox symbol and I end up with a sea of Firefox symbols, why is this happening? It happen on my s3 and now my s5. Until this bug is fixed It's not worth using Firefox.",[0.70995176],,0
"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.","When backspacing the last character of the current page in Firefox for Android's URL bar, it frequently reappears (highlighted, due to autosuggest) and needs to be backspaced again",[0.70140505],,0,,0,,,,"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.","When backspacing the last character of the current page in Firefox for Android's URL bar, it frequently reappears (highlighted, due to autosuggest) and needs to be backspaced again",[0.70140505],,0
"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.","Firefox 63.0.2 is showing a notification of a media file prompting to play which I never downloaded which is in a ""play queue"" which I can't find any documentation for, or setting to disable,  even though I closed all tabs.",[0.69809294],,0,51,0,,,,"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.","Firefox 63.0.2 is showing a notification of a media file prompting to play which I never downloaded which is in a ""play queue"" which I can't find any documentation for, or setting to disable,  even though I closed all tabs.",[0.69809294],,0
"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF","Rename ""Automatic updates"" pref to ""Download updates automatically"" to make it clearer that notifications are still expected",[0.66588503],,0,,0,,,,"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF","Rename ""Automatic updates"" pref to ""Download updates automatically"" to make it clearer that notifications are still expected",[0.66588503],,0
"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF","Tapping an .apk file download link results in 2 downloads starting, one of which never completes",[0.66351545],,1,,0,,,,"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF","Tapping an .apk file download link results in 2 downloads starting, one of which never completes",[0.66351545],,1
"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",Settings: Disable 'Automatic updates' on Beta and Release (Google Play),[0.643448],,0,52,0,,,,"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",Settings: Disable 'Automatic updates' on Beta and Release (Google Play),[0.643448],,0
