feedback,issue,distance,28/150,,,,,9/50,,feedback,issue,distance,,24/100
Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,"SMS text messages sent without reception get stuck in ""pending"" state and never ""fail""",[0.75192696],0,,,,,,,"my main gripe with this is when i try to copy message text, the whole block is selected, and I can't just grab a number or address to paste somewhere. i like the app but i need that functionality for my job. would change rating if this is fixed","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",[0.7967683],,0
Never fails even when no regular phone signal. Update to my opinion of this app. Has become very user unfriendly. Won't let you use the app unless you meet their demands every 2 seconds while you are trying to use it. I am uninstalling it.,"Video gets stuck, chews up 2 gigs of mobile data and prevents me from writing messages",[0.73862493],0,,34,,,,,"my main gripe with this is when i try to copy message text, the whole block is selected, and I can't just grab a number or address to paste somewhere. i like the app but i need that functionality for my job. would change rating if this is fixed",Textsecure is overriding the device's default Emoji set by forcing a third-party font on the user,[0.7141975],,0
"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.","Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",[0.81362414],0,,,,,,,App keeps crashing during the initial setup. Cant get past it! If the app stops working the second you open it then the app must be absolute garbage.,App crashes on start when new received message is waiting ,[0.8955691],,1
"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.",App fails to recognise correct password after phone dies until quit and reopened,[0.8109076],0,,,,,,,App keeps crashing during the initial setup. Cant get past it! If the app stops working the second you open it then the app must be absolute garbage.,highlight text then replace it by emoticon makes the app crash,[0.8637552],,1
"Update, after one year use. No favorite or star tool for needed messages.Forward them to the notes to self. I had issues with uploading media, documents, photos or videos. It doesn't allow uploading multiple ones, and sometimes the app freezes on uploading and holds on all following messages. For unknowns reasons, the calling service does not connect. I have these issues in multiple countries, including the US, and multiple devices, Android or iOS.","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.8108261],0,,35,,,,,"I love this app, however I no longer receive notifications until I open the app. I was previously enrolled in beta and thought that was the reason for the lack of notifications. Please fix this.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.7549616],,1
"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.",The Android share signal link links to only an ios download and isn't smarter. [ easy ish fix ],[0.7776916],0,,,,,,,"I love this app, however I no longer receive notifications until I open the app. I was previously enrolled in beta and thought that was the reason for the lack of notifications. Please fix this.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",[0.7503469],,0
"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.","Other party cannot see my video when I call them. When they call me, everything works fine.",[0.73699045],0,,,,,,,,,,,
"Overall, a fantastic app that I think maaaany more people should use. I have some issues though. Contacts only sync with your phone when you have a cellular signal. There isn't a good way to see all of the people in group chats. I get they are shooting for minimalism but it looks a little plain. I can't put my finger on it, but it is just missing something. Once again, other than that: I have only had good experiences with this app.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",[0.73466384],0,,36,,,,,,,,,
"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Signal calls fail sometimes since upgrading to Android 7.0 Nougat on Galaxy S7 Edge,[0.70334494],0,,,,,,,,,,,
"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.",Sent picture got stuck at 5% and now I can't write anything after it,[0.692597],0,,,,,,,,,,,
"Great app overall! I would have given 5 stars, however, there can be issues with texting and calling. Sometimes it doesnt get a signal or something happens to where i get like 5 text msgs all at once, that were suppose to be sent periodically witnin the last 30min. When I make a phone call, most of the time evertrhing is fine but sometimes ""Signal"" doesn't connect properly, or at all and i have to give up trying to use it.Not sure exactly what happens there but it does not connect sometimes.","Still experiencing ""Error connecting to MMS provider"" on Galaxy S5 after manual MMS setting",[0.6844207],0,,37,,,,,,,,,
It is very worst application.it is frequently hanged. Messages are Updating very delayed.. sometimes messages are not Updating.We can't delete message.also we cant delete Messages from group.also no any group admin..any one can add any one to group.and also no any admin and ee cant remove any one from group.disabling feature is alos very bad.we cant forword ine message in different groups or person.overall its very bad application.please improve features as said above immediately.,"Bad encrypted message, in 1-on-1 chat, and also in never-used Note To Self ",[0.840908],0,,,,,,,,,,,
It is very worst application.it is frequently hanged. Messages are Updating very delayed.. sometimes messages are not Updating.We can't delete message.also we cant delete Messages from group.also no any group admin..any one can add any one to group.and also no any admin and ee cant remove any one from group.disabling feature is alos very bad.we cant forword ine message in different groups or person.overall its very bad application.please improve features as said above immediately.,"After restore: Groups are completely broken! - Getting messages, can't leave, can't write!",[0.83610225],0,,,,,,,,,,,
It is very worst application.it is frequently hanged. Messages are Updating very delayed.. sometimes messages are not Updating.We can't delete message.also we cant delete Messages from group.also no any group admin..any one can add any one to group.and also no any admin and ee cant remove any one from group.disabling feature is alos very bad.we cant forword ine message in different groups or person.overall its very bad application.please improve features as said above immediately.,Crash at wrong time causing data key issues due to no decrypt callback support,[0.8346746],0,,38,,,,,,,,,
Messages aren't received in background anymore. Something broke in recent updates. Have to open app to get messages to come through. UPDATE: Seems the issue is resolved.,After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.838844],1,,,,,,,,,,,
Messages aren't received in background anymore. Something broke in recent updates. Have to open app to get messages to come through. UPDATE: Seems the issue is resolved.,Updating directory for new textsecure users only displays after leaving screen,[0.7998177],0,,,,,,,,,,,
Messages aren't received in background anymore. Something broke in recent updates. Have to open app to get messages to come through. UPDATE: Seems the issue is resolved.,Signal messages delayed and unable to initiate secure calls until recipient restarts Signal app,[0.7989743],0,,39,,,,,,,,,
Works well but gives me 2 check marks immediately after sending my text. I know the receivers are not reading the texts so fast. Why 2 check marks?,"Bug: blocked contact sees message as ""delivered"" (two check marks)",[0.6921258],1,,,,,,,,,,,
Works well but gives me 2 check marks immediately after sending my text. I know the receivers are not reading the texts so fast. Why 2 check marks?,[Registration] workflow improvement when registering using temporarily a second device: allow to use first verification code sent in first SMS,[0.691694],0,,,,,,,,,,,
Works well but gives me 2 check marks immediately after sending my text. I know the receivers are not reading the texts so fast. Why 2 check marks?,"Gradle sync failed says:Error:CreateProcess error=2, The system cannot find the file specified.   Please help me.",[0.6835056],0,,40,,,,,,,,,
"I used signal for my SMS messages, and now it crashes and I can't access my messages. Too bad if I had anything important I wanted to read! Removing this app from the store would improve the world more than its existence ever could.",TextSecure crashes when I launch it if it's locked and is in the recent app list.,[0.7872617],1,,,,,,,,,,,
"I used signal for my SMS messages, and now it crashes and I can't access my messages. Too bad if I had anything important I wanted to read! Removing this app from the store would improve the world more than its existence ever could.","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.7786289],0,,,,,,,,,,,
"I used signal for my SMS messages, and now it crashes and I can't access my messages. Too bad if I had anything important I wanted to read! Removing this app from the store would improve the world more than its existence ever could."," sending the push messages to other textsecure user, app is crashed.. ",[0.77705646],1,,41,,,,,,,,,
2 stars now since nothing is getting fixed. Occasionally I'm getting playback errors on voicenotes and videos. When I reset my phone the same clip or video starts to play. VERY INCONVENIENT. Also I'm missing calls and not getting notified unless I open the app. Then it'll show the messages and that I missed a call. So if i don't open my app I won't receive anything? THAT'S ridiculous.,"Video gets stuck, chews up 2 gigs of mobile data and prevents me from writing messages",[0.8243599],0,,,,,,,,,,,
2 stars now since nothing is getting fixed. Occasionally I'm getting playback errors on voicenotes and videos. When I reset my phone the same clip or video starts to play. VERY INCONVENIENT. Also I'm missing calls and not getting notified unless I open the app. Then it'll show the messages and that I missed a call. So if i don't open my app I won't receive anything? THAT'S ridiculous.,App fails to recognise correct password after phone dies until quit and reopened,[0.82309747],0,,,,,,,,,,,
2 stars now since nothing is getting fixed. Occasionally I'm getting playback errors on voicenotes and videos. When I reset my phone the same clip or video starts to play. VERY INCONVENIENT. Also I'm missing calls and not getting notified unless I open the app. Then it'll show the messages and that I missed a call. So if i don't open my app I won't receive anything? THAT'S ridiculous.,"Can't make or receive calls with iPhones, missed calls appear but not like other cases have read alot of breads here, possibly compatibility problem with Huawei p20 pro",[0.80940235],0,,42,,,,,,,,,
"Not very secure. After hanging up on a video call with my wife, we were still able to hear each other. We both could not find a way to hang up. Killing the app didn't work. I had to go to settings and force quit the Signal application.",App fails to recognise correct password after phone dies until quit and reopened,[0.7802556],0,,,,,,,,,,,
"Not very secure. After hanging up on a video call with my wife, we were still able to hear each other. We both could not find a way to hang up. Killing the app didn't work. I had to go to settings and force quit the Signal application.","Video gets stuck, chews up 2 gigs of mobile data and prevents me from writing messages",[0.7636996],0,,,,,,,,,,,
"Not very secure. After hanging up on a video call with my wife, we were still able to hear each other. We both could not find a way to hang up. Killing the app didn't work. I had to go to settings and force quit the Signal application.","Attach any document (image, audio) causes crash with message: Unfortunately, Documents has stopped.",[0.7415354],0,,43,,,,,,,,,
"I set Signal as my default app when my factory default Samsung text messaging app began delaying incoming messages by hours or days, or not delivering them at all. Signal does everything Samsung did, exept for scheduling later delivery. Signal adds more privacy and ability to make free international calls and video. I would often schedule Samsung SMS messages for next morning or Monday delivery. If Signal implements Scheduled Messages, I can think of no disadvantage to using it by default.","Renew MMS radio ""lease"" so it doesn't expire after 30 seconds and force socket disconnect",[0.7337763],0,,,,,,,,,,,
"I set Signal as my default app when my factory default Samsung text messaging app began delaying incoming messages by hours or days, or not delivering them at all. Signal does everything Samsung did, exept for scheduling later delivery. Signal adds more privacy and ability to make free international calls and video. I would often schedule Samsung SMS messages for next morning or Monday delivery. If Signal implements Scheduled Messages, I can think of no disadvantage to using it by default.","App will send SMS over data when recipient no longer has TextSecure installed, no way to revert back to unencrypted messaging",[0.729313],0,,,,,,,,,,,
"I set Signal as my default app when my factory default Samsung text messaging app began delaying incoming messages by hours or days, or not delivering them at all. Signal does everything Samsung did, exept for scheduling later delivery. Signal adds more privacy and ability to make free international calls and video. I would often schedule Samsung SMS messages for next morning or Monday delivery. If Signal implements Scheduled Messages, I can think of no disadvantage to using it by default.",Don't spam every single one of my contacts on Signal with a notification when I install the app,[0.72721326],0,,44,,,,,,,,,
"I cant use this app because when I enter my phone number, it will send mme a coad but I can't find the edit box for the coad, beasically it is not accessible with talkback, plz fix this",Cannot establish a key exchange since phone upgrade and new Textsecure UI,[0.876132],0,,,,,,,,,,,
"I cant use this app because when I enter my phone number, it will send mme a coad but I can't find the edit box for the coad, beasically it is not accessible with talkback, plz fix this",Number registration (for push messaging) doesn't work with Google Voice,[0.8728112],0,,,,,,,,,,,
"I cant use this app because when I enter my phone number, it will send mme a coad but I can't find the edit box for the coad, beasically it is not accessible with talkback, plz fix this","Never selected a PIN (I think) but asking for one on the new phone, no access to the account on the old one",[0.86265457],0,,45,,,,,,,,,
"I am not getting notifications. I have granted all the necessary permissions, and turned on all notifications. However, at one place the only options are either to allow '3 notifications a day' or none at all.","Message reports Failed to send for all group members, but is received by all group members",[0.7203109],0,,,,,,,,,,,
"I am not getting notifications. I have granted all the necessary permissions, and turned on all notifications. However, at one place the only options are either to allow '3 notifications a day' or none at all.",No individual contact thumbnails/pictures after restoring backup [Signal 4.17.3],[0.71278],0,,,,,,,,,,,
"I am not getting notifications. I have granted all the necessary permissions, and turned on all notifications. However, at one place the only options are either to allow '3 notifications a day' or none at all.",Play notification sound only once for rapidly arriving messages (especially in group chats),[0.69401485],0,,46,,,,,,,,,
The new update doesnt alert on sms messages from other signal users in my contact list. I get no notifications on messages. Neither does my wife and she has an iphone. Fix this!! Gonna have to go back to standard messaging till you fix.,"i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.8606545],0,,,,,,,,,,,
The new update doesnt alert on sms messages from other signal users in my contact list. I get no notifications on messages. Neither does my wife and she has an iphone. Fix this!! Gonna have to go back to standard messaging till you fix.,"Never selected a PIN (I think) but asking for one on the new phone, no access to the account on the old one",[0.8582337],0,,,,,,,,,,,
The new update doesnt alert on sms messages from other signal users in my contact list. I get no notifications on messages. Neither does my wife and she has an iphone. Fix this!! Gonna have to go back to standard messaging till you fix.,TextSecure doesn't catch encrypted messages when GO SMS Pro is running,[0.8366935],0,,47,,,,,,,,,
Signal does everything I ask it to do except post videos longer than a few seconds. Fix that and you'll get another star.,Videos sent from Moto G4 can't be played without saving them first,[0.6922548],0,,,,,,,,,,,
Signal does everything I ask it to do except post videos longer than a few seconds. Fix that and you'll get another star.,TextSecure uses full-fledged notification sounds for in-thread notifications. Should use short dedicated sounds instead.,[0.68279195],0,,,,,,,,,,,
Signal does everything I ask it to do except post videos longer than a few seconds. Fix that and you'll get another star.,"Sent images are downsized beyond legibility, but the recipient sees the full resolution",[0.67668295],0,,48,,,,,,,,,
"For a messaging app that is suppose to feature privacy as the main attraction, when you join it tells Everyone that you're there. The purpose of the app should be to allow you to choose who to share things with, and when. The calling system is also flawed as you don't receive a call, only a missed call notification. This hasn't been solved with updates.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",[0.7889305],0,,,,,,,,,,,
"For a messaging app that is suppose to feature privacy as the main attraction, when you join it tells Everyone that you're there. The purpose of the app should be to allow you to choose who to share things with, and when. The calling system is also flawed as you don't receive a call, only a missed call notification. This hasn't been solved with updates.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.78651834],0,,,,,,,,,,,
"For a messaging app that is suppose to feature privacy as the main attraction, when you join it tells Everyone that you're there. The purpose of the app should be to allow you to choose who to share things with, and when. The calling system is also flawed as you don't receive a call, only a missed call notification. This hasn't been solved with updates.","App will send SMS over data when recipient no longer has TextSecure installed, no way to revert back to unencrypted messaging",[0.78619725],0,,49,,,,,,,,,
"my main gripe with this is when i try to copy message text, the whole block is selected, and I can't just grab a number or address to paste somewhere. i like the app but i need that functionality for my job. would change rating if this is fixed","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",[0.7967683],0,,,,,,,,,,,
"my main gripe with this is when i try to copy message text, the whole block is selected, and I can't just grab a number or address to paste somewhere. i like the app but i need that functionality for my job. would change rating if this is fixed",Textsecure is overriding the device's default Emoji set by forcing a third-party font on the user,[0.7141975],0,,,,,,,,,,,
"my main gripe with this is when i try to copy message text, the whole block is selected, and I can't just grab a number or address to paste somewhere. i like the app but i need that functionality for my job. would change rating if this is fixed","Annoying banner ""Make your profile name and photo visible to this group?"" will not go away.",[0.7098141],0,,50,,,,,,,,,
App keeps crashing during the initial setup. Cant get past it! If the app stops working the second you open it then the app must be absolute garbage.,App crashes on start when new received message is waiting ,[0.8955691],1,,,,,,,,,,,
App keeps crashing during the initial setup. Cant get past it! If the app stops working the second you open it then the app must be absolute garbage.,highlight text then replace it by emoticon makes the app crash,[0.8637552],1,,,,,,,,,,,
App keeps crashing during the initial setup. Cant get past it! If the app stops working the second you open it then the app must be absolute garbage.,Selecting multiple attachments to send crashes the app,[0.85998344],1,,51,,,,,,,,,
"I love this app, however I no longer receive notifications until I open the app. I was previously enrolled in beta and thought that was the reason for the lack of notifications. Please fix this.",After update: no notification sent with TextSecure message. I have to open the app to see if there's something new,[0.7549616],1,,,,,,,,,,,
"I love this app, however I no longer receive notifications until I open the app. I was previously enrolled in beta and thought that was the reason for the lack of notifications. Please fix this.","Signal Server ::Technical document/details missing for creating own server, I am hobbiest and would like to explore own server rather than depending on others account so that I can fancy by making my own changes. couldnt see how we setup our own server.",[0.7503469],0,,,,,,,,,,,
"I love this app, however I no longer receive notifications until I open the app. I was previously enrolled in beta and thought that was the reason for the lack of notifications. Please fix this.","i deleted signal app from my android phone but when i reinstalled again with the same phone number, signal doesn't send me the verification code ! help please",[0.73578674],0,,52,,,,,,,,,
