nothing,bug,vcl
,Web interface has connection issues,
,"""watch for changes"" doesn't work on Pixel 5 with google camera and fotos",
,Enhancement. Force sync button in the Android app,
,Use default ignore rules to exclude version-control object directories,
,fsWatcher Permission Denied WebUI notification,
,Adding a folder without a password from an untrusted device via a popup,
,Removed devices do not influnce the list of locally needed files,
,Can't create second repository with uppercase letters in ID,
,Killed by SIGPIPE,
,Unable to scan /tmp,
,Does not delete directory (file system) from macOS on Mac-to-Android sync,
,"GUI: Add ""Pause All Folders"" and ""Resume All Folders"" buttons",
,cconstant crashing when syncthing in linux,
,"strelaypoolsrv, cmd/ursrv: Google maps issue in the GUI",
,Feature Request: Option to Stop Deletion,
,Reduce database size by optimizing version list storage,
,Multiple folder sharing / multiple request add directory,
,BUG: LibreOffice Writer conflicts without cause,
,English as default language in web interface?,
,method to specify builder name directly (not use hostname),
,Broadcast: interface addresses: netlink rib: invalid argument,
,"Receiving device gets stuck in ""out of sync"" when sending device disconnects/reconnects",
,"""unknown device"" error in web UI after upgrade",
,Tilde ~ does not get expanded on Windows as it should,
,pause sync for folder (not for devices),
,Test Issue,
,Out of sync ignore files,
,Old sync errors should not linger while retrying,
,Deadlock in integration stress test,
,"TLS: Support x25519, reconsider elliptic curve priority in handshake",
,Does not work with other drives (i.e. Drive D:) other then drive C:,
,Syncthing -1%,
,Automatically include paths leading up to an included path.,
,SyncTrayzor BOOT,
,Windows - External File Versioning Command path requires \\ instead of \,
,panic: upnpSvc cannot stop,
,Even with minDiskFree option syncthing crashes because of disk full,
,Document FolderSummary and FolderCompletion events in the Wiki,
,"sync git folder (and similar folders with internal consistency constrains, e.g. database using file storage)",
,panic: close of closed channel in app.Stop(),
,Sync progress accounts for folders not being synced,
,"Allow rescan at folder state ""Local Additions""",
,"Master Introducer and strict version checking (PoC, suggestion)",
,Automatic upgrade: couldn't fetch release information,
,fatal error: sweep increased allocation count,
,v0.14.2 crashes a few minutes after start,
,Transfert_running file,
,Friendlier handling of http<->https switch,
,Small improvements for footer navbar,
,Syncthing's upgrade function is not properly disabled with the noupgrade tag,
,UPnP port numbers backwards,
,Pull order: oldest first issue,
,GUI broken when deployed behind reverse proxy webserver - hardcoded URLs are not changed by Syncthing,
,Delete *idx.gz and *.idx.gz.tmp.* files on repo delete,
,"""Last File Received"" shows wrong info",
,What's that lonely character 'é' doing on the GUI?,
,Negative percentage and data to sync,
,failed to terminate in a timely manner,
,A default folder should be provided for new shares.,
,not shutting down correctly?,
,Querying ignores is racy leading to potential nil deref,
,Bandwidth limits do not work,
,Syncing percentage appears to be bogus in some cases.,
,"How about the performance of synchronizing large files, such as 500GB, and this file has been growing rapidly",
,.stignore #include file from another drive (windows),
,Strange Sync Stats Calculations / more than 100% / negative percentage,
,Conflicts with one-way edit,
,A specially crafted download package can cause DoS,
,Add node identicons,
,Docker README link broken in main README and DockerHub,
,Switch data.s.n and relays.s.n to OpenStreetMap instead of Google Maps,
,Rename with different case triggers delete on android,
,Explaon support host names for device address,
,Two questions,
,Device ignore list,
,Filenames are interpreted as glob patterns when they shouldn't be,
,panic: runtime error: invalid memory address or nil pointer dereference,
,Add Gentoo Linux package link to docs/web,
,"Proxy use displays full Raw IPv4,Relay and TCP Ipv4's for entire circuit to remote peers",
,Local discovery doesn't work by WiFi network (special problem),
,Panic on start,
,allowedNetworks from https://docs.syncthing.net has no value in .config. Does it sill exist?,
,"GUI bug in ver. 0.11.1 - ""About"" screen not displaying",
,Node ID length,
,Stopped syncing / Disconnected Device,
,Versioner doesn't like files with ~ in them,
,html select options for folder advanced settings broken on linux,
,"""kiB"" should be ""KiB""",
,Also use folder label when emitting log entries,
,Update go-lz4 repository.,
,Force Relay for Specific Devices,
,"Keeps getting error: Stopping folder ""MyPictures"" (Pictures) - folder path missing",
,Connect through SSH,
,Crash on ping timeout,
,Syncthing corrupts file if a file that's still in the write-process is synced,
,<ignoredFolder> config option has no effect,
,Malformed md5 checksum file for the syncthing binary in syncthing-linux-amd64-v0.11.5,
,How can I pass -buildmode=pie for build?,
,Constant crashes on RPi4 when syncing,
,Suggest Default Port Change for Web UI,
,"Errors running ""ip"" and ""route"" as snap package",
,Add option to automatically update Device Name to advertised name (even if not empty),
,high CPU use when apparently doing nothing (OSX),
,Syncing randomly hangs,
,Healthcheck has hardcoded port 8384 and fails if you change the STGUIADDRESS to another port,
,Syncthing has stopped / Syncthing keeps stopping,
,Cannot override GUI assets,
,improvement suggestion for increase of sync speed,
,Private multi-user sync server,
,"Autocompletion does not work with ""~""",
,Not able to delete a non-existent introducer device anymore,
,Keep file's modification time (mtime) when archiving (moving the file to .stversions),
,Private relay - unexpected certificate count,
,panic: chmod ...: operation not permitted,
,Handling invalid directory name (Linux to Windows),
,Tidy up the REST interface,
,[question] What is the file transfer protocol used:TCP、UDP or others？,
,FreeBSD 7.x high CPU usage on idle,
,Distributed deadlock on request,
,RFE: -restart option to mirror the web gui,
,Syncthing fails to sync files with different filename case in Windows.,
,Formatting issue in Anonymous Usage Reporting Preview,
,Slash should not be replaced by space when auto accept,
,unknown address scheme,
,"linux 0,11,23 do not open UPNP",
,"Interface states ""Out of Sync"" but it is in fact in sync",
,Answer to an issue where i cannot write anything: [Next Gen Ignores: Requirements](https://github.com/syncthing/syncthing/issues/2491#) #2491,
,Unparsed HTML in notification popup on Gnome,
,"stuck at 99%, 40 out-of-sync files even tho they are ignored.",
,gui: Completion broken,
,Add top level Size field to FileInfo,
,"Win32 0.14.4, paste + rename a file results to file deletion after X secs",
,Win 8.1 - Avast complains about Evo-gen in syncthing.exe,
,Web ui not loading and not updating,
,Attempt TCP hole punching,
,Syncthing makes ext4 fs read only afer short time,
,crash when setting up 0.8.3,
,Android FsWatcher Transition,
,panic: runtime error: slice bounds out of range,
,panic: runtime error: invalid memory address or nil pointer dereference,
,index not up to date after scan folder api called from Filewatcher application (synctrayzor),
,Reloading ignores is hugely inefficient,
,Merge syncthing-inotify,
,[BUG] Should Sync .stignore,
,"upstream congestion, is there a way to use UTP?",
,Split transport usage reporting per stack,
,Incorrect local and global states after ignoring and unignoring files,
,Consider removing support for TLS <1.3 on sync connections,
,Arguments to fs.CreateSymlink are mixed up,
,A great working CentOS and Fedora repo,
,Incorrect file info passed as argument to delete existing dir/symlink,
,GET to /rest/syste/config returns 403 Forbidden (CSRF),
,Identical files with differing mtime are never synced,
,Android Port,
,error,
,Bug with versioner pattern matching,
,Saving notifications setting between reboots,
,Linux Windows incompatibility,
,Stuck on Starting UPnP Discovery,
,lib/api: TestHostCheck never finishes with Go 1.13rc2 under Docker,
,Add arm64 package to apt repository,
,Configurable scan interval per repo,
,panic: runtime error: invalid memory address or nil pointer dereference in ignore.go,
,Provide linux arm builds of releases,
,"windows symlinks not works, syncthing not see changes in it",
,Doesn't start after wake up (via NSSM),
,Bad network connection can stall connection service,
,WARNING: Panic detected - panic: leveldb/table: corruption on data-block - please create a new issue with the panic log attached,
,Conflict files are created when editing on only one client,
,syncthing.exe -generate creating two <listenAddress> entries in a new config.xml,
,32 bit builds should aim for lowest common denominator hardware,
,Syncthing unable to recognize files with some special utf8 char sequence,
,view usage report preview again in config,
,Allow specifying a file bundling type,
,Filesystem watch/notification status per OS/arch,
,folder still shows 0 bytes after a rescan,
,Empty directories in .stversions should be removed,
,Prefix additional commands with st,
,panic: cannot start already running folder www,
,"Selecting ""Show ID"" in the menu hangs the web gui.",
,#NAME?,
,Cannot delete empty folder on windows xp (32 bit),
,Prompts to share a folder/add a device can be missed if UI is not open at the time of the event,
,File that contains emoji are not synced,
,[feature request] allow execute security bit on executables to carry from Windows clients to Linux clients,
,Offload Only folder type,
,Folder patterns should be supported in the ignore file,
,invalid file name,
,Out of Sync Items is empty if files are locked by the OS,
,Avoid thundering herd issue by global request limiter,
,rename() files instead of write-then-delete when syncing a rename,
,undesired renames of folders when using auto-accept,
,upgrade with apt fails in post-inst script,
,GUI: Wrong alignment of local state details when ignore patterns are used,
,panic: runtime error: invalid memory address or nil pointer dereference,
,Error message after update of SyncTrayzor,
,Discovery Server returns 404,
,Node ID not accepted,
,panic: SIGSEGV in netpoll.go,
,TestWatchRename test fails on FreeBSD.,
,Syncing huge file directory,
,Scan errors about ignored files displayed in web UI,
,Exit code - upgrading conflict,
,Allow only one Folder Master per folder,
,Android version bugs,
,notify: File mode change events not emitted on MacOS/FSEvents watcher,
,fsync files,
,Keep all folder panels collapsed,
,Host check error when connecting from localhost,
,Sycthing 0.11 returns 500 when fetching /rest/db/ignores,
,Use fpm to create binary Debian and RPM (plus other?) packages,
,"""out of disk space"" occuring when there are 1% space left",
,"Add ""ignore deletes"" to folder edition",
,relaysrv system v init script for deb package,
,Windows build resource.syso creation fails since v1.4.0.rcX,
,Domain name instead of IP,
,0 files 9.41MB ?,
,Syncthing API,
,WARNING: Panic detected,
,v0.12: -gui-address no longer accepts a scheme (http:// or https://),
,"path exists, but folder marker missing, check for mount issues",
,Refreshing gui shows lots of {{templating}},
,Feature: allow logging to be sent to file,
,Strange errors about DNS,
,Invalid IGD response: invalid device UUID,
,Panic - runtime error: slice bounds out of range,
,syncthing.exe has been detected as W32.BCD8058A37-100.SBX.TG,
,syncing is stuck.,
,Leading spaces in file names should not be trimmed in log/error messages,
,panic: nil pointer dereference in leveldb.(*DB).isClosed(),
,Consider removing rolling hash support,
,panic: Should never get a deleted file as needed when we don't have it,
,Regression - Failed to create UPnP port mapping - Invalid SOAP Packet - Vigor,
,Encrypted folder with password on untrusted device produces gui errors. Syncing not possible.,
,Should delete .stfolder when removing a share,
,"gui: Warning ""path is a subdirectory of other folder"" persists between dialogs",
,"Receiving many ""TLS handshake error[s]"" with HTTPS UI enabled",
,FAIL: TestInWritableDirWindowsRename,
,"Editable default values for folders, devices",
,Syncthing got stuck - how to unstuck it?,
,Support multiple discovery servers,
,Syncthing not working on Windows XP,
,When clicking adding new device: panic 2014/10/28 17:01:41 http: panic serving 127.0.0.1:40289: runtime error: invalid memory address or nil pointer dereference,
,"gui: ""Restore Versions"": Error: $scope.restoreVersions.tree.filterNodes is not a function",
,Logging/systemd defaults in the official debian package are not sane,
,"Tone down ""security - nonexistant file"" warnings",
,v0.14.7 crashes on Arm64,
,Renames should be handled efficiently,
,Syncthing prevents my Linux from standby [Linux] [Ubuntu] [Standby] [Hibernate],
,Bug: Exit Codes,
,Protocol changes before v1.0,
,Simplify configuration: folder based sync,
,Total transfer rate not updating (v0.11),
,Non-working folder ignore button (only in untrusted),
,Automatic upgrade: no version to select,
,Progress bar not visible,
,Incorrect warning when --home and path on same directory level,
,"Cannot edit ID in server, or path/name in shares",
,"Syncthing terminating connections, I/O timeouts",
,filename is invalid,
,High CPU with 0.14.41 on Windows 10 64bit with no current activity,
,Error handling  types,
,Segfaults with LD_BIND_NOW=1,
,Ignore pattern with \[ and \] does not work,
,Folder puller ignores rescan interval when not making progress,
,Syncthing struggles copying symbolic links between Linux systems,
,Inaccessible files during scan are marked as deleted,
,Spelling mistake in German translation,
,"""Uncomplicated FireWall"" (UFW) Integration",
,[linux server] The web page cannot be opened after syncthing is started,
,sync.mywebsite.com (files exposed),
,File injection in private/unshared repository,
,provide AppImage please,
,Improve error message when Syncthing can't remove a folder due to having ignored files present in it,
,Updating the node name does not update the web gui when more than one browser is open,
,Syncthing for Android always uploading,
,Write only folders,
,v0.14.45-rc eats files,
,Sync conflicts created for identical files,
,Remote nodes closing/crashing,
,Negative size to sync,
,Panic: leveldb/table: corruption on data-block,
,stcompdirs: nothing happens with only one argument given,
,Multiple GUI listen addresses,
,unlabeled link in Syncthing ui,
,No free space results in permanent out of sync,
,Can't delete broken symbolic links from synced directories,
,Manually set mtimes in past not propagated,
,folder marker could be removed by git stash and not re-created,
,Should understand and use IPv6,
,Version 0.10.28. panic: runtime error: invalid memory address or nil pointer dereference,
,'No upgrade' option missing in options,
,"Global discovery shows as ""Offline"" when disabled",
,syncthing uses too much memory on windows,
,Track UI Usage,
,Discovering new files in a deleted directory does not resurrect the directory,
,Document (?i) ignore pattern prefix,
,Wher are the log files,
,Simpler remote web sync,
,Node not pulling missing files,
,Web interface should show a warning when globalAnnounceServer is down,
,lib/model: Newly created conflicting files can be silently overwritten,
,Debian package signing,
,KCP connections are significantly slower than TCP,
,Always notify user on manual CPU-poking short-interval jobs,
,Malformed listen address causes hang on startup,
,"QUIC accept error loops too quickly, causing excessive log output",
,Removing an ip address from a node breaks config.xml,
,Firewall setup error upon install (windows),
,Syncthing not detecting updates and new files from Cataclysm DDA,
,Unscanned/conflicting files are overwritten/removed in niche cases,
,Scanning and deletes should be processed even when above the free space limit,
,syncthing hangs after random time,
,Translations for 0.13,
,TestParentDeletion fails on OpenBSD,
,synology @EADir causing delete 'directory not empty',
,Linux: logfile param error,
,Local host header check is too restrictive,
,heavy scan after every system reboot,
,Progress above 100% or below 0%,
,"password is ""-p 8384:8384 -p 22000:22000"",can not login",
,Syncthing in debian testing,
,Add ability to pause sync on folder for one client,
,Case-only renames break stuff,
,Panic: runtime error: slice bounds out of range,
,Syncthing periodically makes my system unusable by eating all the disk IO,
,~ remains pointing to /var/lib/syncthing even if a different default folder is configured,
,Bias in the CSPRNG,
,"""Override"" doesn't work in v0.11 beta",
,Feature request: Reordering of pull order in web interface (out-of-sync items),
,"""disk has insufficient free space"" althouth limit was set to 0%",
,"go-stun not work for many kind of stun server, why synching insist to use it? how can i setup my stun server?",
,[SEVERE] Having client that syncs none of the files in a .stignore can delete all of the files allowed to sync on other clients,
,Slow syncthing speed,
,Avoid logging http: TLS handshake error ... remote error: tls: unknown certificate,
,local discovery announce messages do not include actual local IP addresses,
,deleted file reappears,
,Unclear error message about failed watcher when running out of inotify watches,
,Syncthing install via brew fails on M1 Big Sur,
,Persistently removing remote devices?,
,"GUI ""Out of sync"" modal uses massive amounts of CPU in browser",
,Do not disconnect when changing folder settings,
,Local broadcasts ignored when globalAnnounceServer is down?,
,"Synology Support, take 2",
,Minify Syncthing's JavaScript and CSS files,
,More thorough description of AutoNormalize,
,No sync at all when repositories on connected nodes are not the same,
,Log spam and high CPU use if #include path is wrong in .stignore,
,Cannot delete directories if it contains ignored files,
,Local and global states are different but are the same in all nodes,
,Back off on ever changing files,
,"need ""repoPath"" also in constructor of versioner",
,Reconnecting over relays after interrupted connection fails,
,"When a share is removed from one device, other devices should be notified",
,Allow rescan during sync,
,Add ignore list flag to force choosing the newest file,
,Add ability to ask for rescan of all folders via API,
,request: add darwin/arm64 build for macOS ARM,
,"Files are not synched until ""/rest/system/reset"" is called",
,Debug output while scanning needs improvement,
,"Add button to the UI to ""force"" a resync; by folder, or server.",
,Docker build fails for v1.18.3,
,Dial device addresses in parallel,
,Small files do not sync,
,Show configured rate limit in the GUI,
,Panic! ST crashes when I rebuild project in visual studio,
,"Files deleted in a send-only folder after ""Override Changes"" from another device",
,"getting ""invalid argument"" in log when syncing symlinks osx->linux",
,"Ignored files remain ""out of sync""",
,Minimum free disk space and network drives,
,Clarify and improve change suppression mechanism,
,Node-id QR code doesn't contain ID in 0.9.0,
,Settings: checkbox for automatic updates missing,
,discover udp6://announce-v6.syncthing.net:22026: broadcast: listen udp6 :0: address family not supported by protocol; trying again in 1m0s,
,mtime is insufficient,
,Cannot scan any files and folders in the folder.,
,FATAL: stderr: pipe: function not implemented,
,global gt local when 0 files exist anywhere,
,defaultFolderPath won't show on notification,
,Add an advanced configuration setting to define folder scanning order,
,Web interface should have optional authentication,
,UPnP not doing port mapping on all discovered routers,
,fatal error: stack overflow in lib/db,
,Make which normalization type to do user selectable,
,Tone down STUN logging a bit,
,"Show Device ID QR code in ""Edit Device"" popup",
,Can not start in WinXP SP3,
,"Spurious ""é"" in GUI",
,Auto-create syncthing.ini too,
,What are allowed characters?,
,Make initial repo setup easier,
,UPnP code needs cleanup and improved handling,
,"syncthing-linux-386-v0.12.7 immediately coredumps, illegal instruction",
,Packing in an RPM latest 0.10.26 reports as unknown-dev,
,"Scan failure blocks ""Rescan"" button",
,upgrade from cli and gui at the same time doesn't use locking,
,"Folder shows as ""Syncing"" when there is no data transfer",
,Lots of pull: no available source device,
,2Gb index-v0.14.0.db,
,Syncthing should guard against running old versions with new config,
,username protection disabled when updating from 0.11.x to 0.12.x,
,API,
,Panic when removing paused folders,
,Discovery logs are cryptic,
,Connection closed (xdr read: bytes field exceeds size limit),
,syncthing 是否支持“增量备份”功能 ‘Support for incremental backup functionality’,
,Conflicting/unscanned files being overwritten by dirs/symlinks on pull,
,flooding IPv6 port 21026 with UDP packets,
,duplicate folder ID,
,همگام سازی,
,All nodes configured on every node for a repo?,
,One of my nodes is connecting to itself and yelling about it,
,Minor Doc change suggestion,
,1.4.0 seemingly no longer respecting listen address,
,I am getting default placeholders instead of actual text.,
,Deadlock on device removal,
,panic: bug: ClusterConfig called on closed or nonexistent connection,
,After reboot Syncthing unable to start,
,Use https instead of http where possible,
,Global change log should indicate folder,
,ability to have multiple users sharing a folder also share bandwidth,
,Log output related to initial config loading is misleading,
,unable to remove connected device,
,Can't disable the automatic usage report on Syncthing 0.9.8 for Android,
,Android: Problem closing dialogs while keyboard is shown,
,doc: no documentation for /rest/system/browse,
,Logging stops when syncthing restarts after an automatic update,
,panic: bug: removed more than added,
,The excluding synced documents is too simple.,
,Not sync,
,Permission changing after scan,
,panic: runtime error: slice bounds out of range,
,"Excessive memory use on FreeBSD 11, Syncthing v0.14.37",
,discoveryFailed.join and relaysFailed.join,
,Systemd synthing unit starts too early,
,Question: Millions of files?,
,Per-folder feature to make symlinks appear as folders/files to syncthing,
,Theme modifying,
,Stuck at Out of Sync Items,
,Problem with case between Linux and Windows,
,Relay pool server TestRelay() sporadically failing,
,Changing a large number of small files takes a really long time to update global state,
,Prevent XSS injections,
,Show the amount of sent/received data,
,can't add server device with Nexus 5,
,Request:  add ability to ignore binary executables,
,high CPU usage on RPi,
,Allow database to be an external volume,
,Test failure because of umask,
,Crash on UPnP error response,
,"""Panic: Send on closed channel"" on the receiving end of an distribution system",
,Stealth wrong warning on Trash Can file versionning setting,
,Update to gopkg.in/ldap.v3,
,Upload only,
,File format for logo graphics,
,Usage-reported transfer stats are meaningless,
,"ST freezes with high CPU, no connection to WebGUI",
,Some folders never get fully synchronized on NAS devices,
,New share mixed with another share already in place.,
,Absturz bei zu vielen Datein,
,problem syncing across a hotspot,
,Ignore pattern recursion is broken,
,Connecting to Tor sites over SOCKS proxy doesn't work,
,Add dates to the timestamps,
,"Ignore pattern beginning with ""#"" does not match subpaths",
,Crash when using option -reset,
,"""Syncing (X MB to go)"" instead of ""Syncing (99%)""",
,MacOSX - Update for unexpected folder ID,
,"""Ignore Patterns"" tab disappears after visiting ""Folder Defaults""",
,Database scan/compaction at startup takes too long,
,Relay server should be more verbose with the -debug option,
,Synology not hibernating,
,Feature proposal to avoid syncing of corrupted files,
,Error reported for failing to provide Cluster Config message is nondescriptive,
,Ping timeout during index exchange,
,"New ""Add Repository"" button doesn't show up when the screen is narrow",
,Updating to 1.6.1 killed the whole home network (unintended ARP poisoning?),
,v1.5.0 not working on OS X 10.11.6 (15G22010),
,"sync breaks when there is ""no space left on device""",
,panic xdr read: bytes field exceed size limit,
,Fix bug introduced by b87ed97,
,Many files and problem with sync,
,#NAME?,
,Race condition in restarting folder,
,Enhancement: Global transaction log,
,Allow providing your own ldflags for building,
,Panic loop after upgrade to 1.4.1-rc3,
,adding option to stop syncing when running on battery or trying to save power,
,CLI: add command to print pending folders offered by specific device,
,Show discovered addresses for disconnected devices,
,data.syncthing.net is not accessible from Russia,
,"""Folder (...) isn't making sync progress - retrying in (...)"" spammed in log every few seconds",
,~syncthing~xxx.tmp files are not hidden in nested folders in Windows,
,Should folder labels be locally unique?,
,"Folder ""Up To Date"" but has pending ""Revert Local Changes""",
,TestIssue3028 flaky on windows,
,Better user experience on Windows,
,"Syncing stops, leaving incomplete files for no apparent reason, had to remove and re-add the receiving folder to resolve.",
,Rejiggle the protocol for future extensibility,
,Syncthing snap editing of ignore-file is blocked by apparmor,
,"No noticable progress after ""Failed to re-discover IGD during UPnP port mapping renewal.""",
,Systemd circular dependency prevents startup,
,Allow disabling UDP/UDPv6 multicast,
,Event system can cause deadlock,
,Syncrhonization never ends and sync-conflict created,
,Automatic upgrade issue with renaming. The process cannot access the file because it is being used by another process,
,repos/protobuf/gogoproto/gogo.proto: File not found.?,
,Duplicate Repository ID Error,
,Failure to save config should be reflected in the GUI,
,Add -device-id command line switch,
,syslog flooded with multicastBeacon: Failed service / sendmsg: network is unreachable (Syncthing 1.12.1),
,android folder picker shows duplicated folders,
,Local Versioning,
,Microsoft Access Compact Issue,
,Sync issue - remove not possible,
,Doesn't build from released .tar.gz,
,Panic: fatal error: missing stackmap,
,Tunneling over HTTP(S),
,Panic: runtime error: slice bounds out of range,
,Change name of files while exists Sync,
,Can't delete files (they are redownloaded),
,Doesn't run monitor process when started with STNORESTART=1,
,[UI] Improve UI for non-dualstack connections,
,Scanning of missing folder is not paused correctly,
,Not replicating to second trusted device from untrusted,
,Common cluster configuration should be enforced,
,differentiate version collisions from regular new versions,
,"change node ""Disconnected"" information in WebGUI...",
,Android Syncthing App only using Google's 8.8.8.8 DNS server.  Cannot resolve names on local LAN.,
,advanced settings page close button not working correctly,
,ID3 tags not synced,
,Advanced config can't deal with slices,
,"On app, synching only over WiFi will disable Syncthing",
,URL for Support is not avalible [502 Bad Gateway],
,ARMv6 tarball includes misnamed path,
,WinXP SP3 panic before malloc heap initialized,
,panic: leveldb/table: corruption on data-block,
,Provide better privacy in the usage reporting,
,Creates directories on the other side of directories it lacks permission to read,
,"Filenames containing dots lead to a ""The system cannot find the file specified"" sync error",
,I just restarted syncthing and now I cannot connect to the gui,
,debian package postinst failure,
,Base uri support for Web GUI,
,build: strelaysrv requires Go 1.7,
,0.8.21: Global/Local Repo and Out of Sync filesizes mismatch,
,Syncthing features are not clear,
,This doesn't meet your code of conduct,
,Internal Server Error in /rest/system/upgrade,
,Watcher not working properly on Windows 10,
,Should be more responsive to errors from other devices,
,CPU stats 146% ?,
,Directory creation errors,
,Missing service template for upstart-based Ubuntu 14.04 LTS,
,Different size of sync files between nodes,
,http: panic serving 192.168.0.17:60727: no versions?,
,ST tries to create Sync folder before creating config file while first start,
,Rescan All button should be greyed out when all folders are paused.,
,Syncthing 0.8.1 does not like / in repository IDs,
,Global state incorrect when ignoring local change,
,panic: leveldb/table: corruption on data-block (pos=0):,
,"Can't add new folder with versioning enabled, Cleanup Interval field lacks default value",
,Big file broken,
,Repository stops permanently,
,Theme selector for different bundles css files,
,Unexpected behaviour when creating a conflict,
,Reduce Size of Syncthing Release binaries,
,gui should prompt after restart if anonymous usage report has changed,
,Feature to Ignore certain files or folder,
,Stuck in CPU consuming accept loop when out of file descriptors,
,Systemd unit does not start due to hardening options SystemCallArchitectures,
,UNIX socket permission bits,
,Older files lost during update from v0.14.3 to 0.14.4,
,Resync button on each Remote Devices tab,
,Windows: Syncthing log file filling up primary drive.,
,Corrupted files,
,Erased files because repository is on external hard drive,
,UTF-8 normalization doesn't work on macOS,
,Retry connections on fail,
,Feature Request: Advanced Introducer i.e. Admin Node,
,Compression documentation needs fix,
,"""panic: filling Blocks: leveldb: snapshot released"" on folder save",
,KCP doesn't reconnect after connection is broken,
,Peer nodes in web gui should be sorted,
,incompatibility with  MV-88fxx81,
,Staggered File Versioning not always move all deleted files to .stversion directory.,
,Folders synced from Windows to Linux has no user write permission,
,"panic: leveldb: internal key ""…"" corrupted: invalid type",
,"Reversed ""Insecure Admin Access"" on Windows 10 64?",
,[feature request] Downloading files on demand (like Syncthing Lite),
,build error,
,Deploying Syncthing on Openshift Online?,
,Tool-support for interactively ignoring things to avoid data loss,
,White tab in black Interface ?,
,CLI implementation,
,Announce LAN addresses to global discovery,
,TestBlockSize fails on some architectures,
,Enable HTTP cache for WEB gui remote server,
,"Generation of sync-conflict files, when only one side changes",
,Syncthing hanging,
,panic: interface conversion: *iterator.emptyIterator is not iterator.ErrorCallbackSetter: missing method SetErrorCallback,
,0.12.7 Outgoing Rate not honored,
,"Syncthing ""read-only"" Windows folder(s) to / through Linux servers",
,Systemd.services invalid domains,
,FATAL: Unexpected number of releases: 0,
,Database performance: improve situation with huge databases,
,Documentation in .deb package has HTML content in PDF files,
,No Repositories,
,upnp does not work,
,Better way of switching upgrade tracks in the gui,
,Please integrate the feature selective sync from resilio sync,
,lib/ignore: panic: runtime error: index out of range [0] with length 0,
,Large negative CPU utilization at startup (win7 64),
,Warn/complain/stop if all files have disappeared,
,Files that could not sync because Syncthing disliked their filenames continue to' out of sync' error when deleted,
,Display node name in web UI page header,
,"Clicking the autocomplete line should add another ""\""",
,Files have different status (Syncing / Out of sync) on my two devices,
,web gui doesn't notice when syncthing is back up after a shutdown,
,QR Code not fully visible on small Android screen,
,v0.10.25 non-IPv6 device issue,
,pfilter: panic slice bounds out of range,
,Crash due to illegal instruction detected,
,Idk what the fuck it;s always out of sync,
,Bug in recvonly comparing local and global after changing sendrecv to recvonly,
,Dynamic ip and port for gui on application start,
,How to disable logging/output?,
,Invalid filenames (Windows) shouldn't be retried indefinitely,
,[solved] Bad GPG key,
,"Stuck at ""Syncing 0%"" when adding a new folder",
,Adding devices to existing folder should not require restart,
,It's too easy to bodge a share,
,UPnP Problem with o2 HomeBox (O2 Internet Provider in Germany),
,Introducer should default to false,
,Configurable symlink syncing,
,Just updated and now Synthing borked (on Linux Mint),
,"Please, do not stop doing this awesome software :)",
,Timeouts on Advanced settings are gone,
,The -logfile flag is no longer accepted,
,need to define a folder for .stfolder and .stignore,
,Wrong syncronization status,
,Add conflict hook,
,Odd behaviour when syncing a folder ending with a space on Windows,
,sync over mobile device as a modem,
,Add a html message to GUI when javascript is disabled,
,New version notification could alert other known nodes,
,Custom relay - Excessive DNS lookups,
,Blocks are sometimes downloaded which should be reused locally,
,.stignore invalid pattern error - mix of square brackets and dash,
,Normal == readwrite and Master == readonly ?,
,Sync fails when tmp file name is too long to be created,
,Backlog of 70000+ non-existing files being synced,
,Exception when trying to add a device.,
,syncthing.net down -> relays network down -> global discovery not working ?!?,
,"""fatal error: runtime: out of memory"" during database migration on QNAP NAS",
,微力同步  www.verysync.com  violate the LICENSE .,
,>2k .ldb files in %localappdata%/syncthing/index/,
,File deletions are not being synced in newly shared folders,
,Crash while replacing directory with a file,
,Rework the ur* config options,
,size limit,
,"Sync progress bar *below* folder name, not above it (or at least optional)",
,Syncing conflits on one-way sync.,
,Deleted empty folders aren't moved to staggered .stversions,
,Outdated security information,
,panic: proto: wrong wireType = 2 for field Deleted,
,Versioning information not displayed,
,"""The Syncthing admin interface is configured to allow remote access without a password""",
,Rearranging files doesn't fully adapt to number of file copiers,
,Pausing device no longer works,
,Snap build is rejected,
,v1.12.1 release: no native mac/arm64 binaries?,
,panic: bug: lookup of nonexistent folder ID,
,"Lock files with fcntl while syncing (for syncing SQLite databases, etc)",
,Some settings lost,
,Windows only downloads 2-3MB of a large file at a time and then stops,
,ignore pattern (?i) not working correctly for subfolders,
,Server stops receiving local announcements from other devices,
,Build tests not passing for protocol,
,Provide way to shut down Synthing from command-line.,
,Syncing stuck at 0% for newly added device,
,lib/model: Duplicate scans can happen when folder is restarted,
,#7598 broke compatibility,
,File / Dir name length and Windows,
,Error on SyncTrazor version 1.1.23.0 (Amd64),
,Add Remote Device does not work in lynx,
,Impossible to change device name from web UI,
,Restart fails in v0.9.0-beta8,
,Fix attribute assignments in tests after refactor.,
,List of devices is not sorted alphabetically [v0.11.0-rc1],
,panic: close of closed channel in lib/syncthing when shutting down,
,Unable to execute on WD My Cloud (arm),
,Chromium doesn't show the shared folder in popup (on device),
,Checkboxes in Section 'Share Folders With Device' are always disabled,
,"Browser keeps showing ""Updating"" after restart and has to be manually refreshed",
